申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00570,2023,省考,云南,通用卷,1,1,综合分析,解释评价/启示分析,"根据“给定材料1”，谈谈对划线句子“Z省凭硬核实力实现从‘走出去’到‘走进去’的新飞
跃”的理解。（15分）",分析全面，条理清晰。不超过300字。,1,15,不超过300字,,云南-2023-未知-M1；云南-2023-未知-M2；云南-2023-未知-M3；云南-2023-未知-M4,2023年云南公务员考试申论真题及答案（州市卷）.pdf,高,通过强清洗，可进入候选池,
SL-00571,2023,省考,云南,通用卷,1,2,提出对策,对策措施,"根据“给定材料2”，梳理D市虚拟产业园发展中存在的问题，并提出解决问题的建议。
（20分）","（1）问题梳理全面、准确；（2）所提建议与问题对应，具体明确、切实可行；（3）不超
过500字。",2,20,,经济发展,云南-2023-未知-M1；云南-2023-未知-M2；云南-2023-未知-M3；云南-2023-未知-M4,2023年云南公务员考试申论真题及答案（州市卷）.pdf,高,通过强清洗，可进入候选池,
SL-00572,2023,省考,云南,通用卷,1,3,贯彻执行,应用文/事务文书,"M省发改委调研组目前赴G省调研了“工业上楼”相关情况。假如你是调研组工作人员，请根据
“给定材料3”，拟写调研报告提纲。（25分）",内容全面，层次分明，简明扼要；不超过500字。,3,25,不超过500字,,云南-2023-未知-M1；云南-2023-未知-M2；云南-2023-未知-M3；云南-2023-未知-M4,2023年云南公务员考试申论真题及答案（州市卷）.pdf,高,通过强清洗，可进入候选池,
SL-00573,2023,省考,云南,通用卷,1,4,文章写作,大作文/议论文,"“给定材料4”中划线句子提到，“我们必须心无旁骛，在大变局的喧嚣中守住‘本分’，切
实增强好‘本领’，推动高质量发展的步伐就能坚实稳健，我们就能走向更广阔的未来”。请结合对这
句话的理解，参考给定材料，联系实际，自选角度，以“本分 本领”为题，写一篇议论文。（40分）","（1）观点明确，论述深刻；（2）思路清晰，结构完整；（3）语言流畅，书写工整；（4）
字数1000—1200字。",4；，,40,1000—1200字,,云南-2023-未知-M1；云南-2023-未知-M2；云南-2023-未知-M3；云南-2023-未知-M4,2023年云南公务员考试申论真题及答案（州市卷）.pdf,高,通过强清洗，可进入候选池,
SL-00574,2024,省考,云南,通用卷,1,1,申论综合,待细分,"“给定材料
1”提到“从0到1”和“从1到 100”，请谈谈“科技副总”在“从0到 100”的过程中发挥了哪些作
用。(15分)",全面、准确、有条理。不超过 300字。,1,15,不超过300字,科技创新,云南-2024-未知-M1；云南-2024-未知-M2；云南-2024-未知-M3；云南-2024-未知-M4,2024年云南省申论真题（县乡卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00575,2024,省考,云南,通用卷,1,2,提出对策,对策措施,假如你是D市城管局工作人员，请根据“给定材料2”，起草一份舆情摘要供领导参阅。(20分),"（1）内容包括反映问题和解决措施；（2）问题梳理全面、准确；（3）措施与问题对应，
具体明确、切实可行；（4）不超过 400字。",2,20,不超过400字,城市治理,云南-2024-未知-M1；云南-2024-未知-M2；云南-2024-未知-M3；云南-2024-未知-M4,2024年云南省申论真题（县乡卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00576,2024,省考,云南,通用卷,1,3,贯彻执行,应用文/事务文书,"假如你是刚入职乡党政办的工作人员，领导安排你去妙坝村了解桑蚕产业发展情况，请根据
“给定材料3,起草一份汇报材料提纲。(25分)","（1）紧扣资料，内容全面；（2）逻辑清晰,语言精炼；（3）不超过500字。","3,；，",25,不超过500字,基层治理；经济发展,云南-2024-未知-M1；云南-2024-未知-M2；云南-2024-未知-M3；云南-2024-未知-M4,2024年云南省申论真题（县乡卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00577,2024,省考,云南,通用卷,1,4,文章写作,大作文/议论文,"“给定材料 4”提到：“对机会的把握就像拔河，一头是危机，一头是新机，用力才可能赢得
新机，泄力就可能输给危机。”请深入思考这句话，参考给定材料，联系实际，自选角度，自拟题目，
写一篇文章。(40分)","（1）观点明确，见解深刻；（2）参考给定材料，但不拘泥于给定材料；（3）思路清晰，
语言流畅；（4）字数1000-1200 字。",4；，；，,40,1000-1200字,,云南-2024-未知-M1；云南-2024-未知-M2；云南-2024-未知-M3；云南-2024-未知-M4,2024年云南省申论真题（县乡卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00579,2008,省考,重庆,通用卷,2,,提出对策,对策措施,"的答题过程中已经得到了体现，考生可以根据关键词进行发散。3、解决问题主要是提
对策。对策的两大来源为：一是材料中的问题，二是材料中的对策。当材料之中的问题正好被材料之中
现成的对策解决的时候，我们直接选择援引现成的对策。",,,,,,,2008年重庆市公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00586,2010,省考,重庆,通用卷,1,,文章写作,大作文/议论文,"（一）认真阅读给定材料，简要概括山西省煤炭资源整合过程中出现的几种主要争议。（15
分）","简洁，准确，200字以内。
（二）“给定材料7”提到，山西煤炭资源整合是场大进小退、优进劣退的改革，请结合资
料内容，谈谈这一观点得出的主要依据。（20分）
要求：观点明确，条理清晰，具有针对性。300字以内。
（三）结合“给定材料10”中“东梁煤矿被低价转让”这一事例，指出煤炭资源整合应从中
吸取哪些教训？（25分）
要求：概括准确，条理清楚，具有针对性。300字以内。
（四）围绕“给定材料2”提到的“朔州途径”，写一篇议论文。（40分）
要求：
（1）参考给定材料内容，自选角度，自拟标题；
（2）观点鲜明，分析深刻，逻辑严谨，表达流畅；
（3）总字数1000—1200字。",，；7；10,15,1000—1200字,,重庆-2010-未知-M40；重庆-2010-未知-M1；重庆-2010-未知-M7；重庆-2010-未知-M10；重庆-2010-未知-M2,2010年918公务员联考《申论》卷及参考答案（福建、辽宁、河南、海南、山西、内蒙、重庆、陕西、宁夏、青海、西藏）.pdf,高,通过强清洗，可进入候选池,
SL-00588,2011,省考,重庆,通用卷,1,,贯彻执行,应用文/事务文书,"（一）假定给定材料1~6是你在调查研究中获取的信息，请你依据这些资料归纳出一份情况
汇报提纲，以供领导参阅。（20分）",分条归纳，内容全面，表述准确，逻辑清晰；不超过400字。,1~6；7~9，；，,20,不超过400字,,重庆-2011-未知-M40；重庆-2011-未知-M5；重庆-2011-未知-M6；重庆-2011-未知-M1；重庆-2011-未知-M7,2011年917公务员联考《申论》卷及参考答案（福建、河南、重庆、甘肃、新疆）.pdf,高,通过强清洗，可进入候选池,
SL-00590,2012,省考,重庆,通用卷,1,,文章写作,大作文/议论文,"请根据你对这句话的思考，参考给定材料，自拟题目，
写一篇文章。（40分）","（1）中心明确，思想深刻；
（2）内容充实，有说服力；
（3）语言流畅，1000字左右。",，,40,1000字左右,,重庆-2012-未知-M7；重庆-2012-未知-M3,2012年915公务员联考《申论》卷及参考答案（福建、河南、重庆、吉林、陕西）.pdf,高,通过强清洗，可进入候选池,
SL-00592,2013,省考,重庆,通用卷,1,,综合分析,解释评价/启示分析,"（一）“给定材料7”提到，有专家将“限塑”称为一场左右手的“战争”，左手是环保，右手是
方便，请参考给定材料，简要分析说明这段话所要表达的含义。（20分）",观点鲜明，条理清晰，表达简洁，不超过300字。,7；，；5,20,不超过300字,生态环保,重庆-2013-未知-M1；重庆-2013-未知-M5；重庆-2013-未知-M6；重庆-2013-未知-M2；重庆-2013-未知-M7,2013年9月重庆市公务员考试《申论》试卷及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00595,2015,省考,重庆,通用卷,1,,归纳概括,概括要点,（一）根据“给定材料1”，概括“创客运动”在中国迅猛发展所产生的积极效果。（20分）,全面、准确、简明、有条理。不超过300字。,1；3；，,20,不超过300字,基层治理,重庆-2015-未知-M40；重庆-2015-未知-M1；重庆-2015-未知-M3,2015年425公务员联考《申论》重庆卷及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00596,2015,省考,重庆,通用卷,1,,归纳概括,概括要点,（一）根据给定材料2-3，归纳F、Y两个农产品批发市场建设运营过程中的成功经验。（25分）,内容全面、准确，语言简洁，字数不超过300字。,2-3，；4-6，；，,25,不超过300字,乡村振兴；科技创新；经济发展,重庆-2015-未知-M40；重庆-2015-未知-M1；重庆-2015-未知-M3,2015年重庆公务员考试《申论》真题（下半年）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00602,2017,省考,重庆,通用卷,1,1,综合分析,解释评价/启示分析,根据资料1，概括当前社会上求快风气产生的原因（20分）。,全面、准确、简明、有条理，不超过200字。,1，,20,不超过200字,,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年422公务员联考《申论》（重庆卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00603,2017,省考,重庆,通用卷,1,2,贯彻执行,应用文/事务文书,"为推进休闲生活旅游城市建设，A市政府准备召开市民代表、专家学者参加的座谈会，市长将
在会上作开篇讲话，请你结合资料2和3，为市长草拟一份会议讲话提纲（30分）。",切合主题，内容具体；条理清楚，层次分明；不超过300字。,2和3，,30,不超过300字,城市治理；文化教育,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年422公务员联考《申论》（重庆卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00604,2017,省考,重庆,通用卷,1,3,文章写作,大作文/议论文,参考给定材料，以“平衡”为正标题，自拟副标题，自选角度，写一篇议论文章（50分）。,立意明确、思路清晰、语言流畅；联系实际，不拘泥于“给定材料”。1000—1200字。,，,50,1000—1200字,,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年422公务员联考《申论》（重庆卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00605,2017,省考,重庆,通用卷,1,1,综合分析,解释评价/启示分析,根据给定材料1-7，概括目前我国知识付费平台快速发展的原因。（20分）,内容全面，语言准确，条理清楚，不超过200字。,1-7，,20,不超过200字,,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年重庆公务员考试《申论》真题（下半年）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00606,2017,省考,重庆,通用卷,1,2,综合分析,解释评价/启示分析,"给定材料7中提到“版权保护是知识传播的生命线和护身符。”
请根据给定材料7-9，分析其理由。（25分）",观点明确，分析合理，不超过250字。,7；7-9，,25,不超过250字,,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年重庆公务员考试《申论》真题（下半年）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00607,2017,省考,重庆,通用卷,1,3,文章写作,大作文/议论文,从给定材料出发，以“知识的价值”为话题，自选角度，自拟题目，写一篇文章。（55分）,"（1）参考给定材料，但不拘泥于给定材料；
（2）主题明确，内容充实，结构合理，语言流畅；
（3）总字数1000～1200字。",，,55,1000～1200字,,重庆-2017-未知-M1；重庆-2017-未知-M2；重庆-2017-未知-M3；重庆-2017-未知-M5；重庆-2017-未知-M4；重庆-2017-未知-M7,2017年重庆公务员考试《申论》真题（下半年）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00608,2018,省考,重庆,通用卷,1,,提出对策,对策措施,根据给定材料1-2，针对当前互联网协同消费经济存在的问题，提出相应的对策。（20分）,紧扣资料，对策可行，不超过300字。,1-2，；，；3~4，,20,不超过300字,科技创新；文化教育；经济发展,重庆-2018-未知-M1；重庆-2018-未知-M3；重庆-2018-未知-M6；重庆-2018-未知-M2,2018年421联考《申论》真题（重庆上半年一）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00609,2018,省考,重庆,通用卷,1,,归纳概括,概括要点,"给定材料1中，嘉宾讨论了三个问题。请你根据资料，分别阐述每个问题的聚集点。（20
分）",准确、简明，不超过300字。,1；，；2，,20,不超过300字,基层治理；乡村振兴；生态环保,重庆-2018-未知-M1；重庆-2018-未知-M3；重庆-2018-未知-M6；重庆-2018-未知-M2,2018年421联考《申论》真题（重庆上半年二）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00611,2019,省考,重庆,通用卷,1,,综合分析,解释评价/启示分析,"请根据“给定材料2～3”，归纳概括老姚、老唐等基层干部能落实好上级政策规定的
主要原因。（20分）",全面、准确、简明、有条理，不超过200字。,2～3；6；，,20,不超过200字,基层治理,重庆-2019-未知-M1；重庆-2019-未知-M2；重庆-2019-未知-M5；重庆-2019-未知-M6；重庆-2019-未知-M20；重庆-2019-未知-M4；重庆-2019-未知-M3,2019年重庆公务员考试《申论》真题（法检系统）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00620,2022,省考,重庆,通用卷,1,,申论综合,待细分,"第⼀题
为做好社区⻝堂的开办⼯作，你市成⽴了考察组赴S市考察。假如你是该考察组的成员，请根据“给定材料1”，谈谈
S市的哪些做法值得借鉴 。（15分）",全⾯、准确、有条理。不超过300字。,1；2,15,不超过300字,基层治理,重庆-2022-未知-M2；重庆-2022-未知-M3；重庆-2022-未知-M5；重庆-2022-未知-M1；重庆-2022-未知-M4,2022年公务员多省联考《申论》题（重庆一卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00621,2022,省考,重庆,通用卷,2,,贯彻执行,应用文/事务文书,"F县领导将要参加市政府召开的帮扶⼩微企业经验交流会，并在会上就本县经验作交流发⾔。假如你是F县政府办公
室的⼯作⼈员，请根据“给定材料3”，为县领导拟写⼀份会议发⾔稿提纲。（25分）","（1）紧扣资料，内容全⾯；
（2）条理清晰，语⾔流畅；
（3）不超过400字。",3；，,25,不超过400字,,重庆-2022-未知-M2；重庆-2022-未知-M3；重庆-2022-未知-M5；重庆-2022-未知-M1；重庆-2022-未知-M4,2022年公务员多省联考《申论》题（重庆一卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00628,2022,省考,重庆,通用卷,1,,归纳概括,概括要点,"第⼀题
根据“给定材料1”，请谈谈桐城街道驿道社区嵌⼊式养⽼服务模式的特点。（15分）",全⾯、准确、有条理。不超过300字。,1；2,15,不超过300字,基层治理；乡村振兴,重庆-2022-未知-M2；重庆-2022-未知-M3；重庆-2022-未知-M5；重庆-2022-未知-M1；重庆-2022-未知-M4,2022年公务员多省联考《申论》题（重庆二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00629,2022,省考,重庆,通用卷,2,,贯彻执行,应用文/事务文书,"假如你是港头镇政府的⼯作⼈员，请根据“给定材料3”，就港头镇实施乡村治理积分制试点⼯作写⼀份⼯作简报。
（25分）","（1）紧扣材料，内容全⾯；
（2）条理清晰，语⾔流畅；
（3）不超过400字。",3；，,25,不超过400字,基层治理；乡村振兴,重庆-2022-未知-M2；重庆-2022-未知-M3；重庆-2022-未知-M5；重庆-2022-未知-M1；重庆-2022-未知-M4,2022年公务员多省联考《申论》题（重庆二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00631,2023,省考,重庆,通用卷,1,,提出对策,对策措施,"第⼀题
请根据“给定材料1”，谈谈H市为优化营商环境采取了哪些措施，取得了哪些成效？（15分）",全⾯、准确、有条理，不超过300字。,1；2,15,不超过300字,生态环保；经济发展,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆一卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00632,2023,省考,重庆,通用卷,2,,贯彻执行,应用文/事务文书,假如你是调研组⼯作⼈员，请根据“给定材料3”，拟写⼀份调研报告提纲。（25分）,"（1）紧扣资料，内容全⾯；
（2）准确简明，有逻辑性；
（3）不超过500字。",3；，,25,不超过500字,,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆一卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00637,2023,省考,重庆,通用卷,1,1,申论综合,待细分,"假如你是F县住建局工作人员，请根据“给定材料1”，为本县村民拟写一份农村自建
房建设流程。（15分）","（1）紧扣资料，内容全面；
（2）条理清晰，语言准确；
（3）字数不超过300字。",1；，,15,不超过300字,基层治理；乡村振兴,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆三卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00638,2023,省考,重庆,通用卷,1,2,综合分析,解释评价/启示分析,"“给定材料2”提到“运用柔的方法，取得好的效果”。请谈谈对“柔”的理解。（20
分）",理解准确，分析透彻，简明扼要。不超过400字。,2,20,不超过400字,,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆三卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00639,2023,省考,重庆,通用卷,1,3,提出对策,对策措施,"假如你是蓝阳区城市管理局工作人员，请根据“给定材料3”，对步行街周边的问题进
行梳理分类，并分别提出解决建议。（25分）","（1）问题梳理全面、准确、有条理；
（2）所提建议具有针对性、可行性；
（3）不超过500字。",3,25,不超过500字,城市治理,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆三卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00640,2023,省考,重庆,通用卷,1,4,文章写作,大作文/议论文,"“给定材料4”中提到“以变促变，以新求新”，请结合对这句话的理解，参考给定资
料，联系实际，自选角度，自拟题目，写一篇文章。（40分）","（1）观点明确，见解深刻；
（2）参考给定材料，但不拘泥于给定材料；
（3）思路清晰，语言流畅；
（4）总字数1000字左右。
2023 年公务员多省联考《申论》题（重庆三卷）",4；，,40,1000字左右,,重庆-2023-未知-M1；重庆-2023-未知-M2；重庆-2023-未知-M3；重庆-2023-未知-M4,2023年公务员多省联考《申论》题（重庆三卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00645,2000,省考,重庆,通用卷,1,,综合分析,解释评价/启示分析,"请根据“给
定资料 1”谈谈对“大美”一词的理解。(15 分)",全面、准确、有条理。不超过250字。,1；2；3,15,不超过250字,基层治理；生态环保；城市治理,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（一卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00646,2000,省考,重庆,通用卷,1,1,申论综合,待细分,请根据“给定材料1”，梳理Q县处置农药包装废弃物的主要做法。（15分）,全面、准确，有条理，不超过300字。,1,15,不超过300字,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（三卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00647,2000,省考,重庆,通用卷,1,2,提出对策,对策措施,"请根据“给定材料2”，谈谈H区人力资源和社会保障局在推进劳动争议调解工作方面采取了哪
些措施。（20分）",分析全面，条理清晰；不超过300字。,2,20,不超过300字,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（三卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00648,2000,省考,重庆,通用卷,1,3,提出对策,对策措施,请根据“给定材料3”，梳理当前S县大学生租房存在的问题，并提出相应的解决建议。(25分),"（1）问题梳理全面、准确、有条理；（2）所提建议与问题相对应，具体明确、切实可行；
（3）不超过500字。",3,25,不超过500字,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（三卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00649,2000,省考,重庆,通用卷,1,4,文章写作,大作文/议论文,"“给定材料4”中提到“把握好这少和多，是对管理者的重大考验”。请深入思考这句话，参
考给定材料，联系实际，自选角度，自拟题目，写一篇文章。(40分)","（1）观点明确，见解深刻；（2）参考给定材料，但不拘泥于给资料；（3）思路清晰，语
言流畅；（4）总字数1000字左右。
2024 年公务员重庆省考《申论》题（三卷）",4；，；，,40,1000字左右,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（三卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00650,2000,省考,重庆,通用卷,1,1,归纳概括,概括要点,请根据“给定材料1”，概括A县探索“医养一体、两院融合”的主要举措。(15分),（1）全面准确；（2）分条列出；（3）不超过200字。,1,15,不超过200字,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00651,2000,省考,重庆,通用卷,1,2,申论综合,待细分,请根据“给定材料2”，谈谈裕民社区是如何创建充分就业社区的。（20分）,全面、准确，有条理，不超过300字。,2,20,不超过300字,基层治理；公共服务,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00652,2000,省考,重庆,通用卷,1,3,提出对策,对策措施,"请根据“给定材料3”，对当前S县大学生租房面临的问题进行梳理，并提出相应的解决建议。
（25分）","（1）问题梳理全面、准确；（2）所提建议与问题相对应，具体明确、切实可行；（3）不
超过400字。",3,25,,,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00653,2000,省考,重庆,通用卷,1,4,文章写作,大作文/议论文,"请根据“给定材料4”中提到“创新是有风险的，但它又是规避风险的最好方式”。请深入思
考这句话，参考给定材料，联系实际，自选角度，自拟题目，写一篇文章。（40分）","（1）观点明确，见解深刻；（2）参考给定材料，但不拘泥于给定材料；（3）思路清晰，
语言流畅；（4）总字数1000字左右。
2024 年公务员重庆省考《申论》题（二卷）",4；，；，,40,1000字左右,科技创新,重庆-未知-未知-M1；重庆-未知-未知-M2；重庆-未知-未知-M3；重庆-未知-未知-M4,2024 年公务员重庆省考《申论》（二卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00654,2003,省考,广东,通用卷,1,,文章写作,大作文/议论文,"问题一：有条理地概述给定材料的主要内容，字数不超过200字。(本题20分)
问题二：请就给定材料所反映的问题，提出比较有针对性的解决方案。","(1)意见合理，具体可行；(2)
条理清楚，语言简明；(3)字数不超过300字。(本题30分)
问题三：通过对所给材料的分析和理解，自选某一角度，自拟题目，写一篇1000字左右的文章。要求：联
系实际，观点鲜明，条理清楚，语言流畅。(本题50分)
2003 年上半年广东省公务员录用考试申论试题",,20,不超过200字,,广东-2003-未知-M30,2003年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00662,2008,省考,广东,通用卷,1,,文章写作,大作文/议论文,（一）材料7中反映了哪几个主要问题？请用200字左右的篇幅将其概括出来。,"概括全面，条理清楚，语言流畅。（20分）
（二）根据材料5，用不超过300字的篇幅，简要提出政府进一步强化义工工作的措施。
要求：措施全面、可行、操作性强，条理清晰。（30分）
（三）根据所给全部材料（仅限所给材料），以“提高社会救助水平的对策”为题，写一篇800字左右的策
论型文章。
要求：结构完整，措施全面、可行、操作性强，条理清晰，行文流畅。（50分）",7；5，,20,200字左右,,,2008年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00671,2011,省考,广东,通用卷,1,,文章写作,大作文/议论文,请根据材料1—3，用不超过300字的篇幅，概括出我国现阶段职业病发病的特点。（30分）,"概括准确，条理清晰，语言流畅。
（二）请根据材料6，用不超过200字的篇幅，分析说明“张海超事件”中职业病诊断鉴定难的主要原因。（20
分）
要求：分析全面，思路清晰，语言流畅。
（三）请针对材料所反映的问题（仅限所给的材料），以“加强我国职业病防治工作”为题，写一篇800字左
右的策论文章。（50分）
要求：结构完整、条理清晰、行文流畅，措施全面、针对性强、具有可操作性。
2011年广东省公务员录用考试《申论》试题",1—3，；6，,30,不超过300字,,,2011年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00677,2013,省考,广东,通用卷,1,,归纳概括,概括要点,请根据材料4，概括D市在强化外来人口服务管理中的具体做法。（20分）,要求：准确、全面、有条理。篇幅不超过200字。,4，,20,不超过200字,,,2013年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00678,2013,省考,广东,通用卷,2,,综合分析,解释评价/启示分析,请根据材料5和材料6，分析提炼出“网格化”管理模式的主要特点。（30分）,准确恰当，条理清晰，语言流畅。篇幅不超过300字。,5和；6，,30,不超过300字,,,2013年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00679,2013,省考,广东,通用卷,3,,文章写作,大作文/议论文,请结合全部材料，以“管理和服务”为题目，撰写一篇议论文。（50分）,"1、文章主题应与所给材料相关，思想性强；
2、论点正确、鲜明，论据准确、充分，论证严密、合乎逻辑；
3、结构完整，条理清晰，行文流畅；
4、篇幅在800——1000字。",，,50,,,,2013年广东公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00683,2014,省考,广东,通用卷,1,,文章写作,大作文/议论文,"请根据会议发言情况，就进一步完善本市公共
自行车服务提出建议。（20分）","所提建议合理、有针对性，条理清晰，表达准确。篇幅不超过200字。
4.请结合全部给定材料，以“绿色发展”为题目，撰写一篇议论文。（50分）
要求：
（1）文章主题应与所给材料联系紧密，思想性强；
（2）论点鲜明，论据确凿，论证严密、合乎逻辑；
（3）结构完整，条理清晰，行文流畅；
（4）篇幅在800-1000字。",，,20,不超过200字,生态环保,广东-2014-未知-M30,2014年广东省公务员考试《申论》参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00684,2015,省考,广东,通用卷,2,,归纳概括,概括要点,"请根据材料1,概括说明A镇在建立乡镇（街道）领导干部驻点普遍直接联系群众制度中的具体做法。",总结全面，概括准确；表达清晰；篇幅不超过200字。,"1,",,不超过200字,基层治理；群众工作,广东-2015-未知-M30,2015年广东公务员考试《申论》真题卷及答案（乡镇级）两套答案.pdf,高,通过强清洗，可进入候选池,
SL-00685,2015,省考,广东,通用卷,3,,归纳概括,概括要点,"假如你是B镇政府的一名干部，在今年强对流天气多发季节到来前，镇领导安排你负责做好防灾减灾
工作，请根据材料2,列出今年防台风工作的重点。",考虑全面，安排合理；符合实际，有效可行；篇幅不超过200字。,"2,",,不超过200字,,广东-2015-未知-M30,2015年广东公务员考试《申论》真题卷及答案（乡镇级）两套答案.pdf,高,通过强清洗，可进入候选池,
SL-00686,2015,省考,广东,通用卷,4,,提出对策,对策措施,"假如你是C区农业部门的工作人员，请根据材料3,就如何破解当地荔枝产业发展提出建议。",考虑全面，思路清晰；符合实际，有效可行；篇幅不超过300字。,"3,",,不超过300字,乡村振兴；经济发展,广东-2015-未知-M30,2015年广东公务员考试《申论》真题卷及答案（乡镇级）两套答案.pdf,高,通过强清洗，可进入候选池,
SL-00687,2015,省考,广东,通用卷,5,,综合分析,解释评价/启示分析,"请根据材料4,分析说明D县在加强农村基层治理方面取得的成功经验。",分析全面，说明透彻；条理清晰，表达准确；篇幅不超过300字,"4,",,不超过300字,基层治理；乡村振兴,广东-2015-未知-M30,2015年广东公务员考试《申论》真题卷及答案（乡镇级）两套答案.pdf,高,通过强清洗，可进入候选池,
